Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member Type
301295,3/31/2016 23:59,4/1/2016 0:04,31280,11th & S St NW,31506,1st & Rhode Island Ave NW,W00022,Registered
557887,3/31/2016 23:59,4/1/2016 0:08,31275,New Hampshire Ave & 24th St NW,31114,18th St & Wyoming Ave NW,W01294,Registered
555944,3/31/2016 23:59,4/1/2016 0:08,31101,14th & V St NW,31221,18th & M St NW,W01416,Registered
766916,3/31/2016 23:57,4/1/2016 0:09,31226,34th St & Wisconsin Ave NW,31214,17th & Corcoran St NW,W01090,Registered
139656,3/31/2016 23:57,3/31/2016 23:59,31011,23rd & Crystal Dr,31009,27th & Crystal Dr,W21934,Registered
967713,3/31/2016 23:57,4/1/2016 0:13,31266,11th & M St NW,31600,5th & K St NW,W20562,Casual
534836,3/31/2016 23:57,4/1/2016 0:06,31222,New York Ave & 15th St NW,31278,18th & R St NW,W20222,Registered
243864,3/31/2016 23:56,4/1/2016 0:00,31228,8th & H St NW,31600,5th & K St NW,W20291,Registered
372524,3/31/2016 23:55,4/1/2016 0:01,31113,Columbia Rd & Belmont St NW,31234,20th & O St NW / Dupont South,W20590,Registered
215194,3/31/2016 23:55,3/31/2016 23:59,31263,10th & K St NW,31265,5th St & Massachusetts Ave NW,W21876,Registered
498903,3/31/2016 23:55,4/1/2016 0:03,31243,Maryland & Independence Ave SW,31209,1st & N St  SE,W20973,Registered
389082,3/31/2016 23:54,4/1/2016 0:01,31079,Lee Hwy & N Cleveland St,31093,21st St N & N Pierce St,W01197,Registered
1680745,3/31/2016 23:54,4/1/2016 0:22,31258,Lincoln Memorial,31269,3rd St & Pennsylvania Ave SE,W01191,Casual
1687026,3/31/2016 23:54,4/1/2016 0:23,31258,Lincoln Memorial,31269,3rd St & Pennsylvania Ave SE,W20449,Casual
544541,3/31/2016 23:53,4/1/2016 0:02,31245,7th & R St NW / Shaw Library,31505,Eckington Pl & Q St NE,W20888,Registered
